tauTau TT
LLR  /eos/home-v/vdamante/HH_bbtautau_resonant_Run2/sync/TTTo2L2Nu_tauTau_LLR.root  HTauTauTree
Ciemat  /eos/user/e/emartinv/cmt/Sync/TTTo2L2Nu_CIEMAT_tautau.root  Events
# LLR events = 48662, # LLR unique events = 48662
# Ciemat events = 53378, # Ciemat unique events = 53378
# common events = 48307
LLR events
run:lumi:evt:sampleId = 1:250:249227
run:lumi:evt:sampleId = 1:594:593528
run:lumi:evt:sampleId = 1:745:744243
run:lumi:evt:sampleId = 1:960:959498
run:lumi:evt:sampleId = 1:1047:1046477
run:lumi:evt:sampleId = 1:1104:1103902
run:lumi:evt:sampleId = 1:1398:1397839
run:lumi:evt:sampleId = 1:1474:1473834
run:lumi:evt:sampleId = 1:1536:1535719
run:lumi:evt:sampleId = 1:1808:1807256
run:lumi:evt:sampleId = 1:2137:2136308
run:lumi:evt:sampleId = 1:2587:2586176
run:lumi:evt:sampleId = 1:2700:2699014
run:lumi:evt:sampleId = 1:3465:3464916
run:lumi:evt:sampleId = 1:3491:3490340
run:lumi:evt:sampleId = 1:3599:3598294
run:lumi:evt:sampleId = 1:3719:3718635
run:lumi:evt:sampleId = 1:4343:4342857
run:lumi:evt:sampleId = 1:5113:5112228
run:lumi:evt:sampleId = 1:6187:6186566
run:lumi:evt:sampleId = 1:6324:6323333
run:lumi:evt:sampleId = 1:6707:6706254
run:lumi:evt:sampleId = 1:7676:7675123
run:lumi:evt:sampleId = 1:7984:7983389
run:lumi:evt:sampleId = 1:8211:8210470
run:lumi:evt:sampleId = 1:8812:8811168
run:lumi:evt:sampleId = 1:9514:9513824
run:lumi:evt:sampleId = 1:10578:10577145
run:lumi:evt:sampleId = 1:10821:10820294
run:lumi:evt:sampleId = 1:11215:11214150
run:lumi:evt:sampleId = 1:11335:11334167
run:lumi:evt:sampleId = 1:11423:11422355
run:lumi:evt:sampleId = 1:11475:11474601
run:lumi:evt:sampleId = 1:11508:11507906
run:lumi:evt:sampleId = 1:11656:11655469
run:lumi:evt:sampleId = 1:11685:11684011
run:lumi:evt:sampleId = 1:11700:11699694
run:lumi:evt:sampleId = 1:12104:12103725
run:lumi:evt:sampleId = 1:12495:12494654
run:lumi:evt:sampleId = 1:12697:12696906
run:lumi:evt:sampleId = 1:12937:12936897
run:lumi:evt:sampleId = 1:13090:13089638
run:lumi:evt:sampleId = 1:13126:13125204
run:lumi:evt:sampleId = 1:13552:13551934
run:lumi:evt:sampleId = 1:13624:13623707
run:lumi:evt:sampleId = 1:14502:14501507
run:lumi:evt:sampleId = 1:14771:14770485
run:lumi:evt:sampleId = 1:15401:15400282
run:lumi:evt:sampleId = 1:15558:15557163
run:lumi:evt:sampleId = 1:15906:15905758
run:lumi:evt:sampleId = 1:16408:16407989
run:lumi:evt:sampleId = 1:16860:16859888
run:lumi:evt:sampleId = 1:16896:16895916
run:lumi:evt:sampleId = 1:17987:17986136
run:lumi:evt:sampleId = 1:18796:18795750
run:lumi:evt:sampleId = 1:19709:19708456
run:lumi:evt:sampleId = 1:20341:20340959
run:lumi:evt:sampleId = 1:20972:20971620
run:lumi:evt:sampleId = 1:21516:21515384
run:lumi:evt:sampleId = 1:22747:22746767
run:lumi:evt:sampleId = 1:22803:22802460
run:lumi:evt:sampleId = 1:23197:23196609
run:lumi:evt:sampleId = 1:23203:23202099
run:lumi:evt:sampleId = 1:23326:23325653
run:lumi:evt:sampleId = 1:24327:24326576
run:lumi:evt:sampleId = 1:24456:24455758
run:lumi:evt:sampleId = 1:25837:25836317
run:lumi:evt:sampleId = 1:26442:26441375
run:lumi:evt:sampleId = 1:27039:27038810
run:lumi:evt:sampleId = 1:27324:27323360
run:lumi:evt:sampleId = 1:27412:27411538
run:lumi:evt:sampleId = 1:27695:27694620
run:lumi:evt:sampleId = 1:27777:27776325
run:lumi:evt:sampleId = 1:28618:28617574
run:lumi:evt:sampleId = 1:28776:28775325
run:lumi:evt:sampleId = 1:29114:29113458
run:lumi:evt:sampleId = 1:29766:29765911
run:lumi:evt:sampleId = 1:30109:30108703
run:lumi:evt:sampleId = 1:30358:30357056
run:lumi:evt:sampleId = 1:30504:30503695
run:lumi:evt:sampleId = 1:30727:30726582
