tauTau TT
Pi  /eos/home-v/vdamante/HH_bbtautau_resonant_Run2/sync/TTTo2L2Nu_tauTau_Pisa_2.root  Events
Ciemat  /eos/user/e/emartinv/cmt/Sync/test/TTTo2L2Nu_CIEMAT_tautau.root  Events
# Pi events = 52782, # Pi unique events = 52782
# Ciemat events = 53378, # Ciemat unique events = 53378
# common events = 52101
Pi events
run:lumi:evt:sampleId = 1:250:249227
run:lumi:evt:sampleId = 1:515:514441
run:lumi:evt:sampleId = 1:594:593528
run:lumi:evt:sampleId = 1:716:715279
run:lumi:evt:sampleId = 1:745:744243
run:lumi:evt:sampleId = 1:1047:1046389
run:lumi:evt:sampleId = 1:1047:1046477
run:lumi:evt:sampleId = 1:1104:1103902
run:lumi:evt:sampleId = 1:1398:1397839
run:lumi:evt:sampleId = 1:1474:1473834
run:lumi:evt:sampleId = 1:1591:1590523
run:lumi:evt:sampleId = 1:1808:1807256
run:lumi:evt:sampleId = 1:1892:1891184
run:lumi:evt:sampleId = 1:1963:1962992
run:lumi:evt:sampleId = 1:2307:2306605
run:lumi:evt:sampleId = 1:2898:2897581
run:lumi:evt:sampleId = 1:2964:2963804
run:lumi:evt:sampleId = 1:3133:3132212
run:lumi:evt:sampleId = 1:3465:3464916
run:lumi:evt:sampleId = 1:3491:3490340
run:lumi:evt:sampleId = 1:3530:3529751
run:lumi:evt:sampleId = 1:3599:3598294
run:lumi:evt:sampleId = 1:3698:3697123
run:lumi:evt:sampleId = 1:4254:4253457
run:lumi:evt:sampleId = 1:4343:4342857
run:lumi:evt:sampleId = 1:4884:4883265
run:lumi:evt:sampleId = 1:4898:4897092
run:lumi:evt:sampleId = 1:5113:5112228
run:lumi:evt:sampleId = 1:5211:5210436
run:lumi:evt:sampleId = 1:5345:5344653
run:lumi:evt:sampleId = 1:5588:5587003
run:lumi:evt:sampleId = 1:6164:6163241
run:lumi:evt:sampleId = 1:6187:6186566
run:lumi:evt:sampleId = 1:6324:6323333
run:lumi:evt:sampleId = 1:6609:6608776
run:lumi:evt:sampleId = 1:6682:6681701
run:lumi:evt:sampleId = 1:6707:6706254
run:lumi:evt:sampleId = 1:6944:6943564
run:lumi:evt:sampleId = 1:7071:7070386
run:lumi:evt:sampleId = 1:7471:7470558
run:lumi:evt:sampleId = 1:7612:7611175
run:lumi:evt:sampleId = 1:7676:7675123
run:lumi:evt:sampleId = 1:7984:7983389
run:lumi:evt:sampleId = 1:8766:8765296
run:lumi:evt:sampleId = 1:9044:9043916
run:lumi:evt:sampleId = 1:9373:9372833
run:lumi:evt:sampleId = 1:10578:10577145
run:lumi:evt:sampleId = 1:10690:10689883
run:lumi:evt:sampleId = 1:10821:10820294
run:lumi:evt:sampleId = 1:10951:10950494
run:lumi:evt:sampleId = 1:11131:11130236
run:lumi:evt:sampleId = 1:11137:11136059
run:lumi:evt:sampleId = 1:11215:11214150
run:lumi:evt:sampleId = 1:11252:11251150
run:lumi:evt:sampleId = 1:11423:11422355
run:lumi:evt:sampleId = 1:11475:11474601
run:lumi:evt:sampleId = 1:11656:11655469
run:lumi:evt:sampleId = 1:11685:11684011
run:lumi:evt:sampleId = 1:12104:12103725
run:lumi:evt:sampleId = 1:12697:12696906
run:lumi:evt:sampleId = 1:12770:12769481
run:lumi:evt:sampleId = 1:12802:12801455
run:lumi:evt:sampleId = 1:12834:12833688
run:lumi:evt:sampleId = 1:13126:13125204
run:lumi:evt:sampleId = 1:13228:13227099
run:lumi:evt:sampleId = 1:13514:13513150
run:lumi:evt:sampleId = 1:13624:13623707
run:lumi:evt:sampleId = 1:13806:13805459
run:lumi:evt:sampleId = 1:14044:14043889
run:lumi:evt:sampleId = 1:14502:14501507
run:lumi:evt:sampleId = 1:14858:14857059
run:lumi:evt:sampleId = 1:14878:14877435
run:lumi:evt:sampleId = 1:15906:15905758
run:lumi:evt:sampleId = 1:15976:15975761
run:lumi:evt:sampleId = 1:16365:16364467
run:lumi:evt:sampleId = 1:16408:16407989
run:lumi:evt:sampleId = 1:16531:16530551
run:lumi:evt:sampleId = 1:16785:16784150
run:lumi:evt:sampleId = 1:16860:16859888
run:lumi:evt:sampleId = 1:17313:17312434
run:lumi:evt:sampleId = 1:17343:17342941
run:lumi:evt:sampleId = 1:17953:17952772
run:lumi:evt:sampleId = 1:18288:18287697
run:lumi:evt:sampleId = 1:18380:18379228
run:lumi:evt:sampleId = 1:18392:18391587
run:lumi:evt:sampleId = 1:18796:18795750
run:lumi:evt:sampleId = 1:19196:19195065
run:lumi:evt:sampleId = 1:19208:19207624
run:lumi:evt:sampleId = 1:19322:19321172
